speed,kmh,yaw,rad,pirad
5.29E+00,19.04399986,15.74358157,0.274757095,0.08750226
5.70E+00,20.51999931,-0.51187089,-0.008933174,-0.00284496
5.78E+00,20.80800076,2.525328649,0.044072053,0.014035686
6.47E+00,23.29199924,3.082381882,0.05379375,0.017131768
6.13E+00,22.06800041,-4.93660028,-0.086153583,-0.027437447
6.11E+00,21.99600048,-27.25014774,-0.475569769,-0.15145534
6.03E+00,21.70800076,-84.78372384,-1.47964614,-0.471224885
6.10E+00,21.95999966,-86.56083261,-1.510660255,-0.481101992
6.04E+00,21.74399986,-47.89150815,-0.835802935,-0.266179279
6.28E+00,22.60800076,-33.48252823,-0.584337316,-0.186094687
6.31E+00,22.71599979,-37.45701727,-0.653700127,-0.208184754
6.07E+00,21.85200062,-61.42210271,-1.071938965,-0.341381836
5.79E+00,43.70400122,127.7881593,2.230159848,0.71024199
4.59E+00,41.65199888,126.1424473,2.201438871,0.701095182
3.28E+00,40.53600083,123.1573924,2.149343672,0.684504354
2.74E+00,40.10400122,122.2047388,2.132717955,0.67920954
2.42E+00,39.85199888,121.2149422,2.115444017,0.673708286
3.05E+00,39.41999932,121.4304722,2.119205449,0.674906194
3.66E+00,39.23999863,123.6185321,2.157391485,0.687067352
4.12E+00,38.77200166,124.3397041,2.169977384,0.6910756
4.57E+00,37.76399917,123.1462741,2.149149635,0.684442559
4.93E+00,36.57599946,121.7340234,2.124503026,0.67659332
4.82E+00,35.28000069,133.8485782,2.335926321,0.74392558
5.32E+00,33.83999863,125.4414594,2.189205225,0.697199116
5.37E+00,32.58000069,138.1500414,2.410995487,0.767832958
5.63E+00,31.2480011,139.0843941,2.427301817,0.773026056
5.79E+00,30.67200165,127.5879091,2.22666508,0.709129006
6.03E+00,29.73600082,127.7881593,2.230159848,0.71024199
6.12E+00,26.92800007,126.1424473,2.201438871,0.701095182
6.14E+00,25.09199924,123.1573924,2.149343672,0.684504354
6.26E+00,24.04799938,122.2047388,2.132717955,0.67920954
5.81E+00,22.21200027,121.2149422,2.115444017,0.673708286
6.09E+00,21.56399918,121.4304722,2.119205449,0.674906194
6.18E+00,19.47599945,123.6185321,2.157391485,0.687067352
5.85E+00,19.11599979,124.3397041,2.169977384,0.6910756
5.77E+00,18.54000034,123.1462741,2.149149635,0.684442559
5.77E+00,21.6,121.7340234,2.124503026,0.67659332
5.57E+00,20.84399986,133.8485782,2.335926321,0.74392558
4.94E+00,22.24799938,125.4414594,2.189205225,0.697199116
4.35E+00,24.40800076,138.1500414,2.410995487,0.767832958
3.77E+00,25.88400021,139.0843941,2.427301817,0.773026056
3.52E+00,27.79199924,138.3482748,2.414455058,0.768934732
3.35E+00,29.23199959,140.3849358,2.44999888,0.78025442
3.53E+00,30.23999863,138.6421101,2.419583073,0.770567858
4.19E+00,31.7519989,135.3311808,2.361800712,0.752165832
4.03E+00,33.40799904,135.1671839,2.358938637,0.751254343
4.35E+00,15.65999966,132.9187603,2.319699133,0.738757686
4.52E+00,16.27199993,138.6733177,2.420127709,0.770741308
4.89E+00,17.60399952,141.1600624,2.463526394,0.784562546
4.95E+00,17.81999931,140.6160852,2.454032901,0.78153914
5.48E+00,19.72800007,140.6974041,2.455452079,0.781991108
5.68E+00,20.44799938,140.3407775,2.449228229,0.78000899
5.91E+00,21.27599945,139.9181364,2.441852293,0.777659966
6.16E+00,22.17599945,140.0809334,2.444693428,0.778564786
6.32E+00,22.75200062,137.9400822,2.407331277,0.766666012
6.22E+00,22.39199924,139.0133089,2.426061237,0.772630967
6.74E+00,24.26399918,129.0940034,2.252949449,0.717499824
6.94E+00,24.98400021,130.8496111,2.283588326,0.727257429
7.20E+00,25.91999931,135.5240441,2.365166564,0.753237759
7.49E+00,26.96399918,124.1685658,2.166990677,0.690124419
7.45E+00,26.81999931,86.1312785,1.503163674,0.478714546
7.28E+00,26.20800076,-56.26668019,-0.981966495,-0.312728183
7.29E+00,26.24399986,-37.38322965,-0.652412385,-0.207774645
7.52E+00,27.07199993,-45.57928552,-0.795450009,-0.253328028
7.58E+00,27.28799973,103.5678394,1.807466656,0.575626324
7.72E+00,27.79199924,131.3176782,2.291757037,0.729858929
7.53E+00,27.10800076,200.172997,3.493420541,1.112554312
7.54E+00,27.14399986,204.0672734,3.56138348,1.13419856
7.46E+00,26.85600014,285.782558,4.987479197,1.588369171
7.43E+00,26.74799938,366.7167331,6.399942986,2.038198403
7.47E+00,26.89199924,378.9024938,6.612608967,2.105926423
7.27E+00,26.17199993,323.7532562,5.650144087,1.799408945
7.25E+00,26.1,310.3961196,5.417035246,1.725170461
6.72E+00,24.19199924,307.6641999,5.369357764,1.709986549
6.43E+00,23.14799938,306.5480709,5.349879073,1.703783144
