,Unnamed: 0,speed,kmh,yaw,rad,pirad,Fuzzy Value,Driver
1,1,5.29E+00,19.04399986,-257.4278509,-4.494772001,-1.430154727,0.20939652663352484,Agresif
2,2,5.70E+00,20.51999931,-285.5454296,-4.985713849,-1.586363498,0.17619047619047615,Agresif
3,3,5.78E+00,20.80800076,-273.8312192,-4.781180018,-1.521284551,0.17619047619047615,Agresif
4,4,6.47E+00,23.29199924,-168.1690526,-2.936285045,-0.934272514,0.22140570215020072,Agresif
5,5,6.13E+00,22.06800041,-211.1882734,-3.687414298,-1.173268186,0.17619047619047615,Agresif
6,6,6.11E+00,21.99600048,-297.3197999,-5.191298093,-1.651776666,0.17619047619047615,Agresif
7,7,6.03E+00,21.70800076,-283.8928189,-4.956858743,-1.577182327,0.17619047619047615,Agresif
8,8,6.10E+00,21.95999966,-190.327674,-3.32318161,-1.057375967,0.17619047619047615,Agresif
9,9,6.04E+00,21.74399986,-174.4835976,-3.046539005,-0.96935332,0.19769359765496547,Agresif
10,10,6.28E+00,22.60800076,-188.1199492,-3.284634033,-1.045110829,0.17619047619047615,Agresif
11,11,6.31E+00,22.71599979,-215.0687564,-3.755168762,-1.194826424,0.17619047619047615,Agresif
12,12,6.07E+00,21.85200062,-217.4856124,-3.797367835,-1.208253402,0.17619047619047615,Agresif
13,13,5.79E+00,20.84399986,-216.3956344,-3.778336473,-1.202197969,0.17619047619047615,Agresif
14,14,4.59E+00,16.52400055,-204.1114032,-3.563849896,-1.13395224,0.2904396514221213,Agresif
15,15,3.28E+00,11.8079999,-200.8164446,-3.506318874,-1.115646914,0.4379557349961845,Normal
16,16,2.74E+00,9.864000036,-196.0602458,-3.423274132,-1.089223588,0.4999999999999999,Normal
17,17,2.42E+00,8.712000274,-201.5779477,-3.51961496,-1.119877487,0.4999999999999999,Normal
18,18,3.05E+00,10.97999983,-199.9892752,-3.491876234,-1.111051529,0.4655010483306695,Normal
19,19,3.66E+00,13.17600031,-254.726549,-4.447606411,-1.415147494,0.3944105137589797,Normal
20,20,4.12E+00,14.83199959,-236.0488677,-4.121488167,-1.311382599,0.3429005092783755,Agresif
21,21,4.57E+00,16.45200062,-295.8845019,-5.166237335,-1.643802788,0.2926769616634249,Agresif
22,22,4.93E+00,17.74799938,-196.2872753,-3.42723814,-1.090484863,0.251921118135636,Agresif
23,23,4.82E+00,17.35200062,-233.0267203,-4.068720512,-1.29459289,0.2645086756869485,Agresif
24,24,5.32E+00,19.15200062,-264.273099,-4.614292204,-1.468183883,0.20573588385921984,Agresif
25,25,5.37E+00,19.33199959,-335.9535878,-5.865856294,-1.866408821,0.19958707544081247,Agresif
26,26,5.63E+00,20.26800041,-446.2453817,-7.791586029,-2.479141009,0.17619047619047615,Agresif
27,27,5.79E+00,20.84399986,-488.0490769,-8.521491819,-2.711383761,0.17619047619047615,Agresif
28,28,6.03E+00,21.70800076,-386.0957296,-6.741354008,-2.144976275,0.17619047619047615,Agresif
29,29,6.12E+00,22.03199959,-466.2569935,-8.140995125,-2.590316631,0.17619047619047615,Agresif
30,30,6.14E+00,22.10399952,-464.4840933,-8.110039724,-2.580467185,0.17619047619047615,Agresif
31,31,6.26E+00,22.53600082,-457.796969,-7.993280411,-2.543316494,0.17619047619047615,Agresif
32,32,5.81E+00,20.91599979,-471.078077,-8.225172772,-2.617100428,0.17619047619047615,Agresif
33,33,6.09E+00,21.92400055,-376.2265862,-6.569035633,-2.090147701,0.17619047619047615,Agresif
34,34,6.18E+00,22.24799938,-383.3805087,-6.69394539,-2.129891715,0.17619047619047615,Agresif
35,35,5.85E+00,21.05999966,-328.8708099,-5.742188745,-1.827060055,0.17619047619047615,Agresif
36,36,5.77E+00,20.77199993,-325.0361614,-5.675234564,-1.805756452,0.17619047619047615,Agresif
37,37,5.77E+00,20.77199993,-319.1768048,-5.572928339,-1.773204471,0.17619047619047615,Agresif
38,38,5.57E+00,20.05200062,-319.4823798,-5.578263775,-1.77490211,0.17619047619047615,Agresif
39,39,4.94E+00,17.78400021,-322.825948,-5.636643537,-1.793477489,0.2507690941454726,Agresif
40,40,4.35E+00,15.65999966,-317.4518407,-5.542809917,-1.763621337,0.31720312633056924,Agresif
41,41,3.77E+00,13.57199993,-294.7122911,-5.145770162,-1.637290506,0.3820601111667961,Normal
42,42,3.52E+00,12.67199993,-280.9293266,-4.905115227,-1.560718481,0.4102536976335522,Normal
43,43,3.35E+00,12.05999966,-275.9012183,-4.817322859,-1.532784546,0.4297862713125265,Normal
44,44,3.53E+00,12.7079999,-273.4014213,-4.77367561,-1.518896785,0.40911594303326737,Normal
45,45,4.19E+00,15.08400021,-235.8627631,-4.11823872,-1.310348684,0.3350447082602247,Agresif
46,46,4.03E+00,14.50800076,-269.6105815,-4.707486343,-1.497836564,0.35298789382280543,Normal
47,47,4.35E+00,15.65999966,-273.6367485,-4.777784498,-1.520204158,0.31720312633056924,Agresif
48,48,4.52E+00,16.27199993,-303.8335721,-5.305030624,-1.687964289,0.29826223376256883,Agresif
49,49,4.89E+00,17.60399952,-304.1808022,-5.311093373,-1.689893346,0.25651574590238485,Agresif
50,50,4.95E+00,17.81999931,-303.6934743,-5.302584472,-1.687185968,0.2496157404291905,Agresif
51,51,5.48E+00,19.72800007,-132.6419387,-2.315970359,-0.73689966,0.3458308872880491,Agresif
52,52,5.68E+00,20.44799938,-111.7295351,-1.950833152,-0.620719639,0.4184286402633121,Normal
53,53,5.91E+00,21.27599945,-81.88709709,-1.429774711,-0.454928317,0.4999999999999999,Normal
54,54,6.16E+00,22.17599945,-157.130904,-2.743555467,-0.872949467,0.261122209644271,Agresif
55,55,6.32E+00,22.75200062,-152.6017024,-2.664474169,-0.847787236,0.2769722808914824,Agresif
56,56,6.22E+00,22.39199924,-65.75165678,-1.148044801,-0.365286982,0.4999999999999999,Normal
57,57,6.74E+00,24.26399918,-89.68045772,-1.565849262,-0.498224765,0.4999999999999999,Normal
58,58,6.94E+00,24.98400021,-76.98736848,-1.344223894,-0.427707603,0.4999999999999999,Normal
59,59,7.20E+00,25.91999931,-69.17245316,-1.207772992,-0.384291406,0.4999999999999999,Normal
60,60,7.49E+00,26.96399918,-97.73579502,-1.706498008,-0.542976639,0.4696165039905907,Normal
61,61,7.45E+00,26.81999931,-104.8078343,-1.829978059,-0.582265746,0.4432770881341656,Normal
62,62,7.28E+00,26.20800076,-107.0255748,-1.868700513,-0.594586527,0.4352318424340656,Normal
63,63,7.29E+00,26.24399986,-117.9490544,-2.059427934,-0.655272524,0.3966184156835723,Normal
64,64,7.52E+00,27.07199993,-56.94482924,-0.994274796,-0.316360162,0.4999999999999999,Normal
65,65,7.58E+00,27.28799973,-6.925044601,-0.120913477,-0.03847247,0.4999999999999999,Normal
66,66,7.72E+00,27.79199924,-76.38438489,-1.333695609,-0.424357694,0.4999999999999999,Normal
67,67,7.53E+00,27.10800076,-107.9039856,-1.884037843,-0.599466586,0.432068760559678,Normal
68,68,7.54E+00,27.14399986,-118.9429602,-2.076781845,-0.660794223,0.39316348591492173,Normal
69,69,7.46E+00,26.85600014,-127.5433499,-2.22694738,-0.708574166,0.3634396996471359,Normal
70,70,7.43E+00,26.74799938,-125.4874232,-2.191050246,-0.697152351,0.3705304638067144,Normal
71,71,7.47E+00,26.89199924,-96.09042901,-1.677769395,-0.533835717,0.4759232547189162,Normal
72,72,7.27E+00,26.17199993,-87.87841405,-1.534385007,-0.488213411,0.4999999999999999,Normal
73,73,7.25E+00,26.1,-77.45736876,-1.352430248,-0.430318715,0.4999999999999999,Normal
74,74,6.72E+00,24.19199924,-79.39699365,-1.386296715,-0.441094409,0.4999999999999999,Normal
75,75,6.43E+00,23.14799938,-78.11893417,-1.36398139,-0.433994079,0.4999999999999999,Normal
76,76,5.82E+00,20.95200062,-71.05152541,-1.24058219,-0.394730697,0.4999999999999999,Normal
77,77,6.28E+00,22.60800076,-62.04873418,-1.083390597,-0.34471519,0.4999999999999999,Normal
78,78,6.23E+00,22.42800007,-65.14816712,-1.13750768,-0.361934262,0.4999999999999999,Normal
79,79,6.02E+00,21.67199993,-71.39622568,-1.246600766,-0.396645698,0.4999999999999999,Normal
80,80,5.89E+00,21.20399952,-78.48466405,-1.37036715,-0.436025911,0.4999999999999999,Normal
81,81,5.85E+00,21.05999966,-140.0740457,-2.445737305,-0.778189143,0.32017945944193965,Agresif
82,82,5.70E+00,20.51999931,-140.1410541,-2.446907294,-0.778561412,0.3199491196663558,Agresif
83,83,6.07E+00,21.85200062,-144.7865805,-2.52801966,-0.804369892,0.30398094104959483,Agresif
84,84,6.07E+00,21.85200062,-147.3517637,-2.572808573,-0.81862091,0.29514764711669433,Agresif
85,85,5.74E+00,20.66399918,-131.1715182,-2.290296349,-0.728730656,0.35091656882376904,Normal
86,86,5.06E+00,18.21599979,-86.95065177,-1.518185983,-0.483059176,0.5000000000000001,Normal
87,87,4.57E+00,16.45200062,-59.67444571,-1.041934766,-0.331524698,0.5000000000000001,Normal
88,88,3.96E+00,14.25600014,-35.78127934,-0.624752496,-0.198784885,0.5,Normal
89,89,4.33E+00,15.58799973,105.8993542,1.849036343,0.588329745,0.577526112990869,Normal
90,90,3.97E+00,14.2920001,161.7293715,2.823846169,0.898496508,0.6403017183692685,Normal
91,91,3.43E+00,12.34800024,27.70850648,0.483799319,0.153936147,0.5,Normal
92,92,4.16E+00,14.97599945,-131.302583,-2.292584782,-0.729458794,0.3451993665705528,Agresif
